fullname,trial,frame_indexed_0,start_of_trial_indexed_0,difference,verification
PB_01_D_High_20190527_C2,4,685,633,52,
PB_02_A_High_20190531_C2,1,51,0,51,
PB_02_B_Low_20190630_C2,4,657,613,44,
PB_02_C_Low_20190618_C2,2,209,195,14,
PB_02_D_High_20190526_C2,1,29,0,29,
PB_02_D_High_20190526_C2,2,222,181,41,
PB_02_D_Low_20190623_C2,2,199,173,26,
PB_04_A_High_20190523_C2,1,46,0,46,
PB_04_A_High_20190523_C2,2,459,398,61,
PB_04_A_High_20190523_C2,4,1163,1028,135,ok
PB_04_B_High_20190527_C2,2,244,191,53,
PB_04_C_High_20190531_C2,2,281,261,20,
PB_04_C_High_20190531_C2,4,775,755,20,
PB_04_D_High_20190530_C2,4,745,684,61,
PB_04_D_High_20190530_C2,5,1048,986,62,
PB_05_A_High_20190526_C2,2,165,150,15,
PB_05_A_High_20190526_C2,4,575,483,92,
PB_05_A_Low_20190622_C1,1,59,0,59,
PB_05_A_Low_20190622_C1,2,302,193,109,ok
PB_05_B_High_20190518_C2,2,319,285,34,
PB_05_B_High_20190518_C2,3,629,524,105,ok
PB_05_B_High_20190518_C2,4,804,782,22,
PB_05_E_High_20190529_C2,3,313,263,50,
PB_06_A_Low_20190617_C2,2,269,189,80,
PB_06_A_Low_20190617_C2,3,431,401,30,
PB_06_B_High_20190528_C2,3,498,478,20,
PB_06_C_High_20190525_C2,3,445,287,158,ok
PB_06_C_High_20190525_C2,5,878,836,42,
PB_06_C_Low_20190620_C2,2,202,135,67,
PB_06_C_Low_20190622_C1,2,270,212,58,
PB_06_D_High_20190530_C2,1,73,0,73,
PB_06_D_High_20190530_C2,3,472,414,58,
PB_06_D_High_20190530_C2,5,825,770,55,
PB_W_01_20190528_C2,1,43,0,43,
PB_W_01_20190528_C2,3,500,489,11,
PB_W_02_20190526_C1,1,71,0,71,
PB_W_02_20190526_C1,4,689,680,9,
PB_W_03_20190528_C2,1,44,0,44,
PB_W_03_20190528_C2,3,575,469,106,ok
PB_W_04_20190526_C1,4,641,629,12,
PB_W_05_20190528_C2,1,39,0,39,
PB_W_05_20190528_C2,2,314,215,99,
PB_W_07_2_20190604_C2,1,94,0,94,
PB_W_07_2_20190604_C2,3,579,564,15,
PB_W_07_2_20190604_C2,4,780,700,80,
PB_W_07_20190604_C2,1,23,0,23,
PB_W_07_20190604_C2,2,231,224,7,
PB_W_08_20190605_C2,1,92,0,92,
PB_W_08_20190605_C2,2,333,314,19,
PB_W_08_20190605_C2,3,551,502,49,
PB_W_11_20190610_C2,1,91,0,91,
PB_W_11_20190610_C2,2,311,230,81,
PB_W_11_20190610_C2,3,480,433,47,
PB_W_12_20190610_C2,3,717,610,107,ok
PB_W_13_20190610_C2,4,944,910,34,
PB_W_14_20190610_C2,2,551,481,70,
PB_W_14_20190610_C2,3,1018,963,55,
PB_W_14_20190610_C2,6,2704,2631,73,
PB_W_14_20190610_C2,7,3084,3054,30,
PB_W_15_20190610_C2,1,127,0,127,ok
PB_W_15_20190610_C2,3,752,679,73,
